21 170
-2 -7
7 3
-1 4
-9 2
4 -1
-6 -9
6 -3
-6 5
0 10
1 -3
-7 -3
3 -3
-4 -1
-10 8
1 10
-10 7
-4 7
8 -6
0 9
10 -3
10 -5
11 9 52
14 10 36
10 6 10
19 9 11
11 5 26
5 4 20
21 12 19
7 18 8
9 12 23
14 18 23
10 2 22
13 7 51
17 1 32
8 7 54
18 2 11
11 3 22
16 10 17
19 15 43
7 16 24
12 15 45
1 10 15
8 3 10
13 4 8
13 10 37
11 13 10
17 4 12
10 17 49
15 21 34
7 21 37
8 14 11
8 19 41
14 19 38
12 1 19
10 13 33
13 21 50
13 11 41
7 9 23
11 17 23
14 1 30
11 10 43
13 6 24
9 17 14
6 20 44
14 5 40
20 4 32
12 2 41
19 18 44
8 6 29
12 10 23
8 10 26
20 13 45
14 2 45
17 10 37
11 20 25
10 8 46
11 12 41
3 16 28
19 3 14
13 2 28
11 15 46
19 12 46
17 13 39
1 5 36
3 8 24
10 5 40
10 12 11
3 12 19
9 6 51
13 5 29
14 17 22
6 1 32
11 4 25
10 3 18
17 8 38
19 5 26
20 8 51
13 19 30
12 4 53
12 14 48
4 1 15
9 2 32
15 17 14
9 18 38
19 21 34
2 11 56
17 18 42
1 17 25
1 6 45
13 20 18
9 20 29
9 8 42
1 13 41
8 12 48
1 8 50
9 15 29
11 7 32
20 9 45
3 11 39
8 13 20
11 21 30
9 4 51
19 4 41
19 11 49
10 18 11
7 1 44
14 16 27
7 20 35
16 5 43
6 16 37
21 1 39
8 1 53
10 11 33
18 5 7
8 21 26
15 5 51
7 8 37
9 7 53
11 19 21
11 2 22
16 12 39
18 12 22
6 2 57
10 20 13
6 21 53
11 14 52
10 9 29
18 16 64
3 2 36
17 5 28
1 11 22
7 6 22
14 7 44
7 15 34
12 7 18
9 16 41
7 19 22
15 14 35
10 21 14
3 13 10
19 14 42
14 13 18
12 17 52
7 11 50
3 9 42
8 11 9
8 5 41
12 6 19
1 4 47
13 9 26
9 11 22
12 21 23
3 15 45
14 6 31
2 16 39
17 2 13
12 18 47
3 14 10
20 21 3
14 21 54
15 16 38
8 16 8
9 13 33
13 1 25
13 17 29
9 10 54
20 5 23
7 4 45
9 1 53
6 7 26
16 2 57
320
18 17
12 5
12 20
10 21
6 7
10 14
10 21
1 19
21 15
7 18
18 21
1 15
12 20
15 12
2 4
10 7
21 14
17 1
9 8
21 11
16 3
6 20
17 8
10 4
5 9
16 14
11 5
19 18
16 19
15 14
5 19
19 2
18 4
14 18
5 21
11 14
16 17
3 16
16 3
20 4
11 12
7 15
10 18
17 17
17 20
7 11
14 7
7 18
5 4
2 14
15 14
20 5
20 2
19 15
2 4
3 13
21 11
4 15
12 5
13 1
8 18
2 6
15 21
21 9
11 6
11 12
2 6
11 18
13 3
16 9
20 3
15 13
18 15
12 4
4 13
6 21
12 2
6 18
12 14
11 21
2 11
4 18
14 13
12 15
21 7
2 10
11 5
2 5
4 10
10 1
9 18
5 20
1 11
21 21
1 14
6 21
13 17
7 9
21 19
21 6
3 19
4 19
12 17
11 8
21 1
15 3
5 11
13 6
7 6
17 3
13 12
14 8
1 3
19 15
19 14
6 6
10 5
19 11
14 7
8 6
21 13
1 21
21 4
17 2
5 2
3 16
3 18
14 13
6 18
19 10
20 17
10 8
17 9
14 21
13 2
14 21
19 12
3 1
12 15
8 19
7 17
11 18
12 11
4 14
12 7
6 17
10 20
8 5
4 14
5 12
11 17
11 3
10 3
19 12
15 14
1 12
10 21
3 3
6 14
17 6
6 1
10 7
18 18
12 20
5 20
18 19
10 18
8 12
7 9
9 9
14 13
20 20
7 15
8 10
17 5
20 11
19 20
6 11
7 4
6 13
13 20
8 16
17 3
3 13
14 12
18 19
6 8
13 14
2 12
21 4
11 2
4 21
1 7
1 11
13 19
5 3
4 17
18 16
6 4
3 4
13 16
18 5
9 1
6 11
8 13
9 17
5 3
3 12
16 8
16 10
2 13
1 17
8 15
15 10
12 18
9 20
9 18
13 16
5 20
13 21
2 12
4 21
10 10
20 2
14 7
21 19
10 15
2 21
15 2
19 15
8 18
20 11
4 11
9 8
11 9
7 18
17 16
9 12
9 2
8 20
17 14
18 5
18 12
10 16
16 13
2 4
1 19
14 5
13 14
17 20
1 12
12 6
1 4
2 16
6 12
12 13
16 21
20 15
21 15
15 14
2 14
14 20
7 3
17 20
2 4
20 17
7 9
19 5
3 12
5 15
11 16
11 4
1 10
10 2
21 21
6 20
21 4
19 9
19 13
20 20
8 4
14 2
14 17
7 7
3 15
12 9
11 1
4 8
4 11
20 19
14 16
20 3
20 1
18 3
12 10
8 11
14 7
7 7
2 9
12 5
3 4
21 6
9 18
9 21
1 12
6 9
15 2
6 14
5 12
4 13
21 4
17 14
8 2
17 4
15 18
6 17
21 15
16 11
16 15
15 3
