25 264
6 6
-6 -8
2 9
4 -12
-9 -10
-2 -8
-3 -5
9 -10
-12 -4
-12 6
-9 2
6 7
-7 2
8 7
0 -3
3 5
-4 9
-3 -2
-4 -11
-6 7
9 -1
-7 -11
5 -7
3 2
5 11
25 24 37
8 23 48
22 19 23
20 9 41
1 22 43
5 18 52
22 13 20
24 8 58
4 14 24
1 10 23
10 2 37
19 5 7
11 20 48
14 20 63
3 2 40
16 8 57
16 19 37
20 2 31
24 11 22
21 2 32
18 19 38
6 19 46
4 23 54
11 24 60
23 2 21
11 21 61
11 18 29
24 12 37
6 1 47
16 18 16
22 24 60
15 10 60
15 14 55
1 21 57
23 22 59
14 13 25
14 23 42
3 1 15
7 9 18
4 22 46
8 12 34
1 12 7
15 25 57
8 5 60
13 25 50
7 12 63
15 12 23
20 7 43
24 17 39
23 1 55
1 3 22
5 10 20
5 19 24
7 24 55
7 1 29
16 15 49
16 21 53
14 2 52
22 9 32
21 20 57
15 11 51
5 22 15
24 22 26
11 1 55
17 3 39
22 5 3
8 22 37
21 7 19
8 16 43
23 9 44
11 4 23
17 21 63
3 10 50
5 13 55
1 17 19
8 19 19
6 13 55
8 25 60
22 12 70
23 16 49
14 12 24
19 17 55
14 8 46
25 11 44
5 9 53
14 19 60
25 14 44
15 2 39
7 16 52
20 21 61
23 17 59
11 14 36
13 19 60
18 11 16
2 4 34
22 16 40
22 17 69
19 2 19
7 13 15
22 15 16
20 12 32
4 15 28
1 15 42
24 19 59
5 24 22
22 25 38
25 16 29
16 14 38
16 1 33
14 10 55
15 24 25
1 5 44
4 25 57
24 2 32
22 1 54
11 16 36
14 5 58
6 15 28
23 7 30
14 22 47
1 2 22
3 15 48
1 8 56
14 4 21
2 8 27
16 13 52
3 16 41
3 7 50
18 4 21
3 18 58
16 12 33
1 6 34
8 20 30
21 15 10
11 15 42
16 2 16
7 21 54
23 12 15
5 17 69
21 22 65
24 1 25
19 1 41
19 16 40
20 10 49
22 4 61
7 6 26
25 23 56
20 14 17
22 2 36
15 18 36
2 3 42
16 17 58
8 1 51
15 9 39
20 22 44
24 20 56
1 7 59
14 6 54
11 23 39
21 6 40
11 22 30
19 15 38
7 3 57
15 21 51
16 9 52
15 16 10
24 16 31
15 19 34
21 3 21
21 25 15
11 19 20
8 6 60
5 3 50
5 23 22
25 4 54
3 22 66
25 15 49
15 6 42
19 7 56
24 9 53
5 1 43
20 3 46
4 7 27
21 9 25
7 8 53
23 6 46
20 23 27
11 12 33
21 24 20
4 20 60
25 7 55
8 2 32
22 18 20
20 13 44
21 14 12
16 11 31
15 4 56
19 6 23
19 8 48
15 13 36
6 5 19
19 9 59
1 4 33
19 22 31
21 19 57
15 20 58
25 6 36
11 9 30
21 10 61
1 13 21
24 15 44
19 12 38
24 4 25
2 22 26
16 10 44
21 13 52
19 21 59
23 3 50
20 5 22
1 14 35
21 4 38
19 3 24
1 24 29
24 21 14
24 18 40
16 4 29
23 21 33
21 5 57
18 2 36
11 10 25
13 6 53
8 10 59
1 18 53
18 14 44
14 25 36
19 24 23
1 23 17
16 23 33
19 13 22
5 15 46
7 20 37
7 15 16
6 11 44
25 3 4
16 3 29
7 14 48
23 13 44
14 18 41
20 1 21
21 8 54
22 3 62
8 14 59
23 5 26
4 19 25
20 6 50
25 5 71
1 11 40
5 20 33
7 18 52
18 22 33
5 2 47
5 25 50
1 19 42
13 10 54
454
21 20
14 6
14 23
12 25
7 8
12 16
12 25
1 22
25 17
8 21
22 25
1 18
14 24
18 14
3 5
12 8
25 17
20 1
10 9
24 13
18 3
7 23
20 9
12 4
6 11
18 16
13 5
22 21
19 22
17 16
6 23
23 3
21 5
17 21
6 25
13 17
18 21
3 19
18 4
23 5
12 14
9 17
12 21
21 20
20 24
8 14
17 9
8 21
6 5
2 16
18 16
24 6
24 2
23 17
3 4
3 16
24 13
4 17
15 6
16 1
10 22
2 8
18 24
25 10
14 8
13 14
2 8
13 22
16 3
19 11
24 4
18 16
21 18
15 5
5 16
7 25
15 2
7 22
15 17
13 25
2 13
4 21
17 15
14 17
25 8
2 12
13 6
2 6
4 12
12 1
10 21
6 23
1 13
25 25
1 17
7 25
15 20
9 11
25 23
25 7
4 23
5 23
14 20
13 9
25 1
18 4
5 13
15 7
8 7
20 4
16 14
17 9
1 3
22 18
23 17
7 7
12 5
23 13
16 8
10 7
25 16
1 25
25 4
20 3
5 2
3 19
3 21
17 15
7 21
22 12
23 21
12 9
20 11
17 25
16 3
16 25
22 14
4 1
14 17
10 22
9 20
13 21
14 14
5 16
14 8
7 21
12 24
9 5
4 17
6 14
13 20
13 3
11 3
22 15
18 17
1 15
12 25
4 4
8 16
20 7
7 1
12 8
21 21
14 24
6 24
22 23
12 22
9 14
8 11
10 11
17 16
24 23
8 18
9 12
20 6
23 13
22 24
7 13
9 5
7 16
15 23
10 19
20 3
3 16
16 15
21 22
6 10
15 17
3 14
25 4
13 2
4 25
1 9
1 13
15 22
6 3
4 20
21 19
7 5
4 5
15 19
21 6
11 2
8 13
9 16
11 20
5 3
4 14
19 10
19 12
3 15
2 20
9 18
18 12
14 21
11 23
11 21
15 19
6 24
15 25
2 14
5 25
12 11
24 2
17 8
25 22
12 17
3 25
18 2
23 18
9 21
24 13
5 13
10 10
14 10
8 21
20 19
11 14
11 2
9 23
20 17
21 6
21 14
12 19
19 15
2 5
2 23
17 6
16 17
20 24
2 14
14 7
1 5
2 19
7 14
15 16
18 25
24 18
25 18
18 16
2 17
17 24
9 3
20 23
2 5
24 20
8 11
22 6
3 15
6 17
13 19
13 5
1 12
12 2
24 25
7 23
25 4
22 11
23 16
24 23
10 5
17 3
16 20
9 8
3 18
15 11
13 1
4 9
5 13
23 22
17 18
24 3
24 1
21 4
14 12
9 13
16 8
8 8
2 10
14 6
4 4
25 7
11 21
11 24
1 14
7 10
18 2
7 17
6 14
5 16
25 5
20 16
9 2
20 5
18 21
7 20
25 17
19 13
19 18
18 3
15 22
4 25
6 24
21 15
2 16
3 14
6 23
7 24
10 9
23 9
1 7
7 5
7 12
11 1
8 20
24 14
22 2
1 3
2 20
11 11
6 6
4 2
19 19
14 2
10 21
4 10
20 9
3 9
16 24
18 19
13 21
7 7
18 14
18 4
23 5
23 15
24 13
4 20
4 5
12 14
23 10
16 13
17 14
20 13
25 17
12 3
3 17
23 11
25 22
10 5
2 10
4 6
24 15
11 7
6 8
6 12
13 5
22 4
5 19
16 5
20 5
5 6
18 20
12 8
16 18
21 7
21 7
13 13
7 11
15 3
3 13
7 18
12 1
16 24
21 20
6 7
7 5
10 22
6 23
13 4
3 4
17 14
13 25
17 6
17 9
22 20
4 14
2 8
