29 313
6 -3
2 -3
-9 -8
12 14
-5 -14
-4 9
-11 8
6 -12
10 5
-4 11
1 -11
-13 -2
10 7
10 6
-8 1
1 -7
-6 9
-6 8
3 -6
10 11
-10 -4
-10 -7
-6 -7
-8 -3
4 9
-3 3
11 -4
3 1
-5 10
9 13 9
11 8 12
9 21 56
25 18 62
5 1 19
19 29 45
28 26 18
28 7 31
25 19 49
14 21 34
28 4 38
27 28 28
28 6 18
22 11 18
22 10 57
1 5 18
6 29 34
17 20 21
17 10 53
12 4 84
17 15 29
28 21 62
8 2 14
13 28 52
19 20 49
26 16 61
21 18 49
11 17 28
11 23 62
28 25 54
11 7 44
14 3 50
11 25 36
14 10 71
3 17 72
4 6 36
28 15 47
19 25 43
22 16 37
8 18 66
13 29 33
14 7 41
26 22 69
6 2 14
15 16 28
28 1 34
15 19 32
8 12 56
19 13 64
16 1 33
7 17 43
26 18 33
22 14 53
20 15 25
14 22 57
17 16 67
15 10 65
16 14 28
27 10 37
13 19 27
15 26 52
8 17 78
26 17 26
14 27 43
18 8 57
20 19 37
16 28 21
25 8 60
26 23 13
14 23 57
22 27 72
3 25 61
5 21 39
17 29 17
9 19 59
20 26 65
9 25 30
26 2 60
13 9 23
20 16 34
8 28 14
16 5 19
1 16 25
13 26 31
15 6 65
19 16 37
16 9 21
21 4 86
1 27 26
16 23 55
3 12 36
9 18 51
11 3 59
8 3 26
11 27 65
26 7 24
14 17 68
13 27 62
22 13 28
15 12 47
16 2 59
13 15 32
19 7 54
9 22 75
26 25 24
12 26 42
5 28 39
6 5 38
16 10 67
3 13 79
20 22 76
13 22 26
8 1 38
3 10 37
6 24 28
26 28 59
15 14 57
25 21 41
3 27 22
5 26 20
12 29 24
9 26 17
25 5 53
3 28 58
9 23 68
17 9 42
16 15 26
19 24 36
17 26 27
14 15 59
17 27 75
12 19 61
3 9 41
25 9 55
9 17 27
22 19 34
23 13 67
19 27 50
12 2 37
5 16 55
8 22 55
21 2 46
3 26 47
9 3 78
28 24 41
12 8 26
28 12 23
12 7 32
9 6 27
5 22 23
27 23 28
20 14 26
21 14 78
5 24 34
21 3 13
14 25 19
6 15 41
11 18 50
19 15 59
6 20 54
25 16 49
21 29 59
11 13 65
12 5 54
28 16 21
8 26 27
4 14 52
2 27 10
16 6 40
13 17 43
11 1 28
20 27 24
8 13 72
22 26 34
9 29 21
26 11 48
17 7 11
7 10 53
25 22 58
12 22 32
22 1 65
23 20 55
12 18 32
1 2 18
11 22 69
28 11 25
10 17 34
6 11 42
21 5 30
15 24 20
10 7 11
28 8 62
5 4 60
26 13 29
26 24 40
12 13 54
11 24 13
13 6 15
26 14 52
12 14 79
22 8 56
16 12 53
13 25 12
16 25 48
21 19 43
8 14 65
19 12 50
3 6 62
20 1 54
25 15 31
25 20 36
16 18 18
11 5 27
22 20 42
26 12 69
26 4 48
21 26 45
19 9 55
8 10 71
26 3 55
17 3 34
25 29 29
22 6 52
8 6 73
16 11 19
17 22 37
16 4 28
8 20 74
15 8 51
15 22 53
21 7 60
17 25 55
26 29 11
22 24 31
25 1 32
13 21 75
3 21 46
26 1 21
21 23 13
22 25 22
27 20 48
13 12 51
12 17 26
9 14 7
16 21 52
9 15 67
8 19 62
3 5 55
15 9 60
26 6 37
8 7 62
3 1 48
22 5 9
13 3 36
17 12 43
21 10 24
28 10 24
17 18 12
21 24 36
28 22 53
20 17 58
11 16 59
26 15 57
12 21 11
3 4 64
4 28 37
9 10 60
7 11 46
22 21 40
10 9 72
14 1 30
21 16 54
5 2 46
21 28 57
18 5 71
13 10 33
9 20 19
15 25 36
3 29 53
12 16 18
13 5 65
26 20 72
12 6 16
21 22 8
21 9 25
12 10 41
8 27 58
11 4 65
15 3 47
13 24 53
3 16 64
9 11 47
1 15 68
9 7 71
14 24 59
20 12 83
19 8 17
11 26 45
25 17 35
25 24 43
13 7 22
10 1 35
3 19 65
28 14 19
22 9 77
17 23 32
14 6 29
21 12 39
6 19 64
19 6 53
22 2 30
17 11 33
17 21 35
611
24 23
17 6
17 27
13 29
8 9
14 19
14 29
1 26
29 20
10 24
25 29
1 21
16 28
20 16
3 6
14 9
29 19
23 1
12 10
28 15
21 4
8 27
24 10
14 5
7 12
21 18
15 6
26 24
22 25
20 19
7 26
26 3
25 5
19 24
7 29
14 19
21 24
3 22
21 4
27 6
14 16
10 20
14 25
24 24
23 28
9 16
20 10
9 24
7 6
2 19
21 19
27 7
27 2
27 20
3 5
4 18
28 15
5 20
17 7
18 1
11 25
2 9
21 28
29 12
16 9
15 16
2 9
15 25
18 4
22 12
28 4
21 18
25 20
17 6
6 18
8 29
17 2
8 25
17 19
15 29
3 15
5 24
19 17
17 20
29 9
2 14
15 7
3 7
5 13
14 1
12 24
6 27
1 15
28 29
1 19
9 29
18 23
10 13
29 26
29 8
4 27
6 26
16 23
15 11
29 1
21 4
6 15
17 8
10 8
23 4
18 17
20 10
1 3
26 21
26 19
8 8
14 6
26 15
19 10
11 8
29 18
1 29
28 5
23 3
6 2
4 22
3 25
19 17
8 25
25 13
27 24
14 10
23 13
19 29
18 3
19 29
26 16
4 1
17 20
11 26
10 23
16 25
16 16
5 19
17 10
8 24
14 27
10 6
5 20
6 16
15 23
14 3
13 4
25 17
21 19
1 17
14 29
4 4
9 19
24 8
8 1
13 9
25 24
16 28
6 28
25 26
14 25
11 17
9 13
12 13
20 18
28 27
9 20
10 14
24 7
27 16
25 28
8 15
10 6
8 18
18 27
11 22
23 4
3 18
19 17
24 26
7 11
18 20
3 16
29 5
14 2
5 29
2 10
1 15
17 25
7 4
5 23
25 22
7 6
4 6
17 22
25 7
12 2
9 15
11 18
13 24
6 3
4 16
22 11
21 14
3 17
2 23
11 21
21 14
16 25
13 27
12 24
17 22
7 27
17 29
2 16
5 29
13 13
27 2
19 9
29 26
14 20
3 29
20 2
26 21
10 24
28 16
6 15
12 11
16 12
9 25
23 22
12 16
13 3
10 27
23 19
24 7
25 17
14 22
21 18
2 6
2 26
19 7
18 19
23 28
2 16
16 8
1 5
3 22
8 17
17 18
21 29
27 20
29 21
20 19
2 19
20 28
10 4
23 27
3 5
27 23
9 12
26 7
4 17
7 20
15 22
14 5
1 13
14 3
28 29
8 27
28 5
26 12
26 18
28 27
11 5
19 3
19 23
10 10
3 21
17 13
15 1
5 10
5 15
27 26
19 21
28 4
27 1
24 4
16 14
10 15
19 10
9 10
3 12
16 7
4 5
29 8
12 24
13 28
1 16
8 12
21 2
8 20
7 16
5 18
28 6
23 19
11 2
24 6
21 25
8 23
28 20
22 15
22 20
21 4
18 26
4 29
7 28
24 17
2 19
3 16
7 27
8 28
11 11
27 11
1 8
7 6
9 14
13 1
10 23
27 16
25 2
1 3
2 24
12 12
7 7
4 3
22 22
17 2
12 24
4 12
23 11
3 11
19 28
21 22
15 24
8 8
21 17
20 5
27 6
26 17
28 15
4 23
4 5
13 16
27 12
18 15
19 16
23 15
29 20
14 4
3 19
27 13
29 25
11 6
2 12
5 7
27 17
13 8
7 9
7 14
15 5
25 4
6 22
18 6
23 6
6 7
21 23
14 9
18 21
24 8
24 8
15 16
8 12
18 3
3 15
