34 472
-13 -5
-13 -11
-8 -14
-5 -6
12 6
16 17
-7 -11
0 -13
-11 13
0 -15
11 10
-12 -9
-7 -7
-13 6
-2 13
17 -14
-14 6
-5 5
-10 16
-16 1
-7 0
10 -11
-13 -9
-17 13
-14 -17
-17 7
-1 16
-2 -11
-3 0
17 5
12 15
-4 15
-16 14
-1 0
10 16 79
29 13 56
14 8 31
27 1 26
34 24 67
7 27 33
12 10 63
9 10 82
25 18 28
2 23 20
13 1 53
5 18 45
10 14 88
25 7 59
32 25 48
10 31 44
24 5 36
18 9 22
2 27 36
29 10 47
27 34 23
8 6 101
19 13 60
20 16 70
8 25 24
19 9 32
6 11 20
25 29 30
9 25 57
17 31 54
22 11 37
9 13 61
14 4 58
17 13 17
9 6 58
31 24 50
17 5 46
23 14 23
12 28 11
34 15 64
33 22 72
9 16 58
24 26 66
18 26 20
7 8 41
27 6 58
14 9 15
24 9 72
15 23 62
14 22 77
14 34 18
5 12 34
19 20 46
7 12 62
20 19 25
12 11 48
9 17 43
20 18 63
10 1 72
15 28 40
25 22 43
25 3 29
9 14 13
27 24 24
21 11 22
20 24 31
34 17 61
5 8 55
23 34 82
8 34 34
17 25 74
10 32 67
14 27 58
31 34 43
25 24 93
8 29 39
20 14 38
22 18 76
23 27 78
24 4 36
30 17 90
27 28 52
27 21 65
16 5 34
15 34 25
25 13 55
3 9 91
12 9 36
13 7 34
26 32 64
10 8 15
22 32 60
20 3 78
7 23 61
5 15 71
32 23 45
22 14 46
7 18 77
22 30 55
19 3 37
5 24 84
20 1 32
15 27 51
12 27 66
32 22 76
17 3 35
10 23 19
24 1 55
34 20 38
14 23 53
34 21 14
18 32 54
33 26 55
3 13 21
4 1 47
31 16 80
33 29 44
21 6 34
20 27 63
27 19 69
29 24 48
27 12 77
22 29 68
26 23 31
9 15 18
25 28 60
30 10 65
12 15 60
27 9 75
14 29 34
12 25 24
34 7 80
34 2 79
33 7 87
31 10 72
20 32 49
22 33 55
22 31 29
34 32 16
29 32 17
17 6 43
34 26 25
24 16 68
20 5 57
20 6 52
9 19 71
20 9 23
11 6 37
33 15 30
23 15 44
17 20 24
11 20 37
18 2 66
9 24 35
13 30 75
18 23 80
29 33 53
12 4 43
23 19 31
17 9 47
18 25 64
22 24 75
31 6 15
9 34 51
15 21 43
17 30 47
22 15 53
10 29 58
2 25 23
24 33 8
26 20 32
5 26 59
5 20 65
25 17 84
5 10 47
10 4 37
15 19 65
18 33 62
19 28 52
17 12 57
21 9 68
29 18 44
24 17 59
3 2 33
14 15 57
21 17 38
22 2 91
19 22 84
9 18 11
18 28 80
9 5 66
30 25 65
25 1 25
5 28 23
22 26 47
18 31 33
34 25 51
12 29 35
5 11 24
29 30 49
13 16 89
10 30 79
22 25 82
3 7 66
4 7 57
7 19 87
23 6 106
4 2 64
20 4 25
22 19 62
19 34 59
29 2 82
7 21 68
24 11 56
29 19 79
32 8 72
13 29 42
26 29 64
9 11 73
26 31 40
33 13 23
2 1 62
22 21 25
20 17 61
13 17 71
18 1 48
20 11 49
24 31 45
32 31 60
7 22 38
15 2 83
8 31 86
5 17 79
29 1 22
34 30 25
10 19 97
22 12 34
17 22 40
33 25 64
22 28 37
8 20 67
24 34 46
29 28 78
2 19 60
18 20 56
12 2 36
29 8 18
12 18 27
13 15 66
17 29 15
19 24 38
29 34 50
33 6 41
19 4 80
27 29 58
34 5 72
25 30 74
14 28 76
15 7 26
17 4 77
15 24 44
3 8 30
8 32 83
5 29 63
27 16 36
9 30 74
9 33 20
26 22 97
10 2 44
14 10 29
7 34 44
10 20 56
25 2 45
11 10 53
28 22 21
33 10 45
27 4 33
24 6 64
25 20 59
15 10 54
34 13 13
31 30 41
15 11 74
18 30 31
29 31 49
29 16 43
25 14 47
12 13 29
24 28 40
15 14 32
32 24 62
8 13 28
12 1 46
11 17 27
27 14 61
14 32 44
19 25 58
29 27 78
24 23 57
12 6 82
20 13 43
32 15 9
33 23 49
23 3 21
5 32 74
25 9 73
19 10 37
24 2 73
8 9 79
34 14 16
21 33 21
13 12 15
21 4 64
20 15 78
8 4 76
14 25 80
18 10 65
18 5 30
33 34 26
20 26 71
23 11 75
25 16 63
8 23 72
9 1 23
24 7 62
17 14 55
5 21 40
5 30 66
26 34 32
20 25 73
14 7 80
14 2 71
32 13 23
20 10 66
5 33 86
17 28 55
22 20 94
12 14 67
27 22 47
33 20 72
33 11 81
15 8 50
2 31 68
18 21 48
10 18 49
20 8 71
25 26 50
34 29 48
32 2 33
29 25 71
15 30 21
27 11 66
15 12 29
15 26 55
24 29 26
24 27 60
25 11 78
23 31 56
23 26 63
5 2 79
5 19 40
5 16 86
18 11 34
12 33 73
5 3 64
20 2 18
17 33 11
13 27 58
2 18 63
10 6 66
33 8 39
31 21 43
23 25 43
27 10 64
13 2 42
8 22 13
27 26 84
12 3 64
21 5 27
2 21 78
34 1 55
10 3 48
20 33 69
23 22 31
32 34 52
13 21 11
33 27 63
10 26 94
31 5 50
33 32 55
21 12 64
3 22 34
15 33 44
23 28 62
25 8 37
32 19 38
20 31 55
29 5 56
24 19 75
5 25 86
1 18 54
1 26 51
10 11 45
27 18 75
17 26 26
19 16 100
24 8 58
17 32 35
12 23 41
27 32 5
6 29 42
19 23 45
13 26 29
28 34 66
3 24 60
24 20 23
5 13 43
29 14 60
21 27 29
34 9 21
7 17 19
10 33 55
3 15 86
20 34 21
24 22 69
19 29 34
12 31 101
23 1 36
27 15 11
22 9 77
34 22 59
34 19 52
21 25 71
22 34 47
34 8 68
25 10 28
20 29 28
11 15 30
31 29 49
23 13 40
12 8 28
10 7 73
33 9 55
5 7 56
32 21 70
33 1 31
2 9 69
15 31 72
19 30 97
32 26 42
14 19 53
17 16 92
17 34 73
28 12 72
7 3 49
10 21 20
13 8 54
22 3 80
3 5 39
4 12 63
18 13 34
33 4 90
5 9 91
26 8 86
17 23 19
13 22 71
12 5 69
9 22 35
8 7 44
9 23 61
9 21 48
18 6 32
726
28 27
19 8
20 31
16 34
10 10
16 22
16 34
2 30
34 24
11 28
29 34
2 24
18 32
24 19
3 7
16 11
34 22
26 2
13 12
33 18
25 5
10 31
28 12
16 5
8 14
25 22
17 7
30 29
26 30
24 22
8 31
31 3
29 6
22 29
8 34
17 23
25 28
4 25
25 5
31 7
17 19
12 23
16 29
28 27
26 32
11 18
23 12
10 28
8 7
3 22
24 22
32 8
32 3
31 24
4 6
4 21
33 17
6 24
20 8
22 1
13 29
3 10
24 33
34 14
18 10
18 19
2 10
17 29
21 4
26 14
32 5
24 21
29 24
20 6
7 21
9 34
20 3
9 29
20 22
18 33
3 18
6 28
22 20
19 23
34 11
3 16
17 8
3 8
6 16
16 1
14 28
7 32
2 18
33 34
1 23
10 33
20 27
12 15
34 31
34 9
5 31
7 31
19 27
18 12
34 2
24 5
7 17
20 9
11 9
27 5
21 20
23 12
1 4
30 25
31 23
9 10
17 7
31 17
22 11
13 9
34 21
1 34
33 6
27 4
7 3
4 25
4 29
22 20
9 29
30 16
31 28
16 12
27 15
23 34
21 4
22 34
30 19
5 1
19 23
13 30
12 27
18 29
19 18
6 22
19 11
9 28
16 32
12 7
6 23
7 19
18 27
17 4
15 5
30 20
24 22
1 20
16 34
5 5
10 22
28 9
9 1
16 11
29 28
19 33
7 33
29 31
16 29
13 19
11 15
14 15
23 21
32 32
11 24
12 16
28 8
31 18
30 33
10 17
12 7
9 21
21 31
13 26
27 5
4 21
22 20
28 30
9 13
21 23
3 19
34 6
17 3
6 34
2 12
2 18
20 30
8 4
6 27
29 26
9 6
5 7
20 25
29 8
14 2
10 17
13 21
15 28
7 4
5 18
26 13
25 16
3 20
2 27
12 24
25 16
19 29
15 31
14 28
20 26
8 32
20 34
2 19
6 33
16 15
32 2
22 11
34 30
16 23
4 34
24 2
31 24
12 28
32 18
7 18
14 13
18 14
10 29
27 25
14 19
15 3
12 32
27 23
28 9
29 19
16 26
25 21
3 7
2 31
23 9
21 22
27 32
2 19
19 9
1 6
3 25
9 19
20 21
25 33
32 24
34 24
24 22
3 22
23 32
11 4
27 31
3 6
32 27
10 14
30 8
5 20
8 23
17 25
17 6
1 16
16 3
33 33
9 31
33 6
30 14
31 21
32 31
13 6
23 4
22 27
11 11
4 24
20 15
17 1
5 12
6 17
31 30
22 25
33 4
32 1
28 5
18 16
12 18
22 11
11 11
3 14
19 9
5 6
34 10
14 28
15 33
1 19
9 14
24 3
10 23
8 19
6 21
33 7
27 22
13 2
28 6
25 29
9 27
33 23
26 17
26 24
24 4
21 30
5 34
8 33
29 20
2 22
4 18
8 32
10 32
13 12
32 12
1 9
9 7
10 16
15 1
11 27
32 19
29 3
1 4
3 28
14 14
8 8
5 3
26 25
19 2
14 28
5 14
27 13
3 12
22 33
25 26
18 28
9 10
25 19
24 6
31 7
30 20
33 18
5 27
5 6
16 19
32 14
21 18
23 19
27 17
34 23
16 4
4 22
31 15
34 30
13 7
2 14
5 8
32 20
15 10
8 10
8 16
17 6
29 5
7 26
22 6
27 7
7 8
25 27
17 11
21 25
28 9
28 10
17 18
9 14
20 3
4 18
9 24
16 1
22 32
28 27
8 9
9 7
14 29
8 31
17 6
3 5
23 18
17 33
23 8
23 11
30 27
6 19
3 10
32 18
27 25
5 19
17 29
17 20
1 21
30 22
11 12
31 15
1 33
29 26
7 17
12 14
9 17
31 15
3 25
5 4
32 25
4 27
1 19
22 29
2 31
33 2
13 1
1 19
31 25
19 4
16 7
11 11
13 26
10 1
32 2
17 11
17 26
25 21
8 5
15 16
12 1
24 10
18 10
2 9
16 13
19 13
7 1
23 25
15 28
14 9
9 22
31 34
15 22
19 21
10 15
11 27
11 3
27 16
17 1
27 3
25 2
19 20
18 5
5 17
3 1
