40 767
-8 -13
-16 6
18 20
-2 14
-5 -13
-8 8
17 -6
-11 -6
-20 6
11 2
-19 -16
10 2
-8 2
2 -20
13 -10
-10 -10
17 18
-4 -13
-7 -7
-11 -10
-18 13
17 -16
5 16
19 7
14 -9
11 5
-6 1
9 -2
15 -14
-11 7
-14 -9
-11 20
12 -4
-20 -20
-12 1
-2 9
2 20
13 -7
11 7
19 -12
25 28 47
28 20 54
39 27 85
15 40 68
6 38 44
23 34 77
18 14 31
26 31 77
39 6 80
28 30 82
26 11 116
25 11 92
11 37 47
10 4 53
31 33 53
9 12 84
13 10 57
39 2 69
34 19 83
35 21 47
30 14 67
31 23 64
34 38 67
17 34 119
20 3 57
3 2 103
33 35 81
36 27 79
18 15 19
22 31 76
6 40 88
14 20 53
31 9 29
19 40 53
13 29 63
26 19 98
29 21 94
26 15 38
23 1 45
11 18 76
30 18 25
17 6 79
32 27 49
14 32 107
33 8 36
37 30 35
17 35 90
32 30 70
1 30 62
30 33 57
15 4 77
5 10 31
31 26 56
33 38 67
11 29 56
21 9 60
35 27 18
18 26 92
1 4 101
36 38 42
31 11 74
23 25 53
6 28 78
12 38 21
24 37 82
17 23 29
40 25 50
19 18 24
39 33 44
35 29 57
10 31 102
39 5 85
24 30 73
28 36 21
31 18 33
30 6 45
37 13 36
7 6 105
7 9 65
5 33 34
32 19 70
23 36 45
3 13 109
4 32 29
36 21 60
4 33 88
38 7 32
21 23 39
7 1 31
33 19 71
7 12 58
19 28 21
21 40 107
22 4 97
13 36 73
7 18 72
7 37 64
33 22 86
31 24 73
6 14 76
32 16 73
31 3 84
20 34 69
38 2 99
21 19 46
33 12 21
4 11 111
33 40 56
10 35 97
38 23 85
12 16 62
38 12 35
1 34 34
16 31 13
18 16 43
3 23 89
25 18 69
36 23 59
20 24 62
37 3 57
16 6 25
12 39 63
5 15 31
17 36 92
6 31 98
24 27 104
28 11 47
4 30 85
19 36 41
11 38 70
39 35 84
32 26 57
24 12 38
23 4 55
30 39 59
7 34 117
17 27 102
29 1 28
35 28 100
23 15 46
13 19 60
39 12 63
39 25 21
13 16 26
12 22 54
39 9 81
17 12 89
24 1 52
6 2 84
30 2 74
7 35 94
26 24 10
36 8 26
11 13 89
11 40 113
34 9 72
18 10 99
30 13 8
11 5 40
31 39 52
5 21 96
24 19 80
12 35 40
34 23 87
20 11 37
37 27 82
29 11 80
39 14 107
18 4 99
34 37 119
37 4 77
35 6 30
37 18 81
15 25 55
18 19 44
6 34 99
15 20 78
21 12 40
18 35 24
36 28 16
12 33 61
18 28 76
7 33 53
14 8 32
29 26 91
20 21 86
34 39 87
30 15 52
34 6 38
6 21 43
28 22 26
24 25 88
9 27 62
33 36 21
16 20 80
33 4 23
19 27 22
17 19 43
26 12 50
39 28 37
31 25 90
11 36 35
5 39 26
6 32 73
29 34 96
17 37 26
37 7 75
30 38 50
33 16 34
28 27 43
19 35 39
23 19 84
7 31 56
28 3 61
19 13 65
32 4 90
32 20 65
24 2 60
1 22 43
37 8 63
20 25 72
4 38 50
20 35 81
15 8 67
29 27 90
23 5 81
35 3 69
29 3 47
1 18 26
20 40 51
20 29 52
25 32 96
14 30 75
18 23 78
20 15 48
17 18 38
39 40 82
30 5 35
33 14 33
29 24 87
16 10 46
29 33 66
28 23 66
4 14 112
25 19 98
39 8 27
15 24 38
26 14 81
16 9 32
28 1 51
26 37 88
23 17 51
6 36 82
31 7 74
25 35 76
12 25 38
15 23 57
19 31 46
25 4 100
32 21 62
16 39 75
39 24 79
24 8 55
20 4 72
4 6 39
29 35 82
32 35 42
18 39 92
21 37 53
32 14 89
31 40 43
26 34 97
32 9 23
37 35 84
24 10 69
2 36 69
30 37 60
36 24 52
6 27 57
17 3 57
33 34 106
19 34 36
39 30 52
27 25 90
24 31 110
9 39 61
38 37 44
26 13 76
6 5 90
5 11 22
34 4 91
28 35 83
37 6 38
34 25 70
13 5 84
29 15 31
29 6 102
12 36 27
12 24 13
32 39 43
24 14 107
30 36 19
32 40 57
3 5 72
11 34 16
15 31 106
19 24 58
31 28 31
19 37 105
14 10 51
14 12 40
27 4 58
14 37 62
6 13 11
36 17 56
4 16 45
16 13 80
21 29 67
16 34 70
7 17 100
38 26 37
32 10 68
1 7 74
21 35 49
5 40 41
25 22 36
31 35 20
29 5 74
19 5 68
34 1 23
28 18 35
20 8 28
6 29 105
33 25 10
13 17 69
17 28 24
2 13 58
15 7 16
37 12 87
4 25 53
19 38 21
37 25 71
18 13 45
18 1 72
21 17 114
1 20 50
25 2 112
20 14 73
22 9 102
33 10 13
20 18 35
6 22 68
15 13 82
1 37 53
33 24 48
7 32 43
11 9 58
28 12 32
20 28 62
1 23 32
37 10 43
29 32 45
36 3 50
13 37 30
4 15 61
26 20 65
26 9 47
20 32 91
33 26 11
29 18 76
11 28 58
19 6 48
11 17 82
26 38 47
40 11 90
19 7 103
32 36 81
5 34 30
34 29 94
34 14 39
12 19 39
29 16 35
38 35 105
25 30 101
21 36 91
14 31 51
23 22 99
20 1 56
35 9 32
25 9 52
25 14 72
1 36 80
24 22 83
13 25 61
16 37 52
12 26 15
28 4 96
26 33 84
28 13 54
16 2 65
24 18 79
6 15 30
30 40 102
11 14 37
30 3 32
4 31 92
7 27 74
11 1 27
9 8 42
5 26 80
29 37 96
14 27 29
21 20 90
39 34 112
14 40 87
28 16 43
30 31 29
1 17 55
24 29 60
14 13 75
11 19 21
25 23 32
4 1 62
18 24 109
34 18 19
1 5 83
13 14 33
11 2 37
15 19 42
40 9 96
38 11 40
37 17 95
37 39 44
31 29 56
24 38 67
12 37 23
4 5 100
25 36 59
6 10 47
32 7 42
32 29 53
33 18 21
11 30 96
14 29 89
15 21 83
20 38 51
11 25 67
17 8 102
17 29 38
39 32 71
13 38 94
34 13 50
30 25 88
20 7 88
12 1 78
34 22 108
14 21 87
19 21 54
38 28 19
37 26 65
36 34 67
13 26 20
6 25 43
32 17 80
24 7 45
29 19 84
30 11 29
34 7 45
24 35 54
15 17 90
13 15 80
23 37 85
38 14 51
13 34 77
25 6 44
16 12 25
8 29 93
21 8 52
37 19 94
37 16 95
38 27 59
31 38 52
29 12 94
7 22 13
14 28 55
36 13 68
30 4 17
32 1 80
33 6 67
13 39 23
5 3 55
37 34 87
34 12 104
34 21 43
33 3 34
21 25 109
36 30 62
29 22 45
28 2 47
24 4 27
9 19 19
17 5 115
12 14 101
19 3 40
32 37 46
15 6 67
6 16 32
30 17 102
12 18 28
39 20 66
35 2 39
12 23 70
1 27 77
34 24 98
32 34 46
33 11 82
6 23 72
14 4 35
12 2 70
18 21 90
11 3 54
25 15 50
23 13 60
25 24 44
37 28 24
1 25 51
19 20 54
31 32 68
18 9 40
5 24 56
17 14 105
31 1 50
7 20 32
9 26 49
26 4 91
5 38 59
6 33 96
1 24 43
37 36 60
35 25 85
33 31 72
12 30 95
19 15 60
10 16 32
17 25 85
32 2 72
39 16 57
25 40 22
18 12 57
32 3 46
19 26 67
7 16 79
39 38 43
17 32 53
1 12 78
9 17 75
4 13 34
21 3 100
21 2 18
22 15 59
29 38 13
11 15 52
26 30 28
10 15 55
33 17 37
3 22 90
14 22 57
39 18 39
5 25 93
20 6 23
33 5 48
7 29 70
24 16 105
34 11 24
38 18 33
7 30 44
29 10 23
15 12 32
19 22 59
20 16 46
29 23 93
35 26 29
3 34 135
13 21 47
29 39 50
25 38 54
20 17 100
7 2 99
16 15 102
19 23 33
1 38 50
34 26 45
35 40 68
15 29 32
13 20 66
33 21 90
28 38 67
5 31 47
14 15 85
4 2 39
33 15 74
21 26 87
18 5 68
21 33 99
14 2 52
31 5 27
11 23 84
4 12 43
38 30 98
35 13 10
4 26 67
28 9 67
13 30 81
14 17 86
30 24 53
12 8 37
33 37 62
36 20 26
38 34 93
34 32 94
38 15 70
15 36 60
24 32 33
24 13 97
40 24 64
15 34 82
14 35 78
1 28 63
26 17 26
36 1 41
18 3 55
40 15 59
26 22 94
26 2 103
28 24 71
11 26 37
29 8 72
34 28 45
15 1 29
25 20 26
9 4 53
5 13 77
24 15 51
38 6 35
2 29 87
1 29 71
35 10 59
10 21 32
13 23 29
23 30 32
18 25 27
21 30 10
31 16 76
38 29 29
31 8 81
4 18 107
31 36 97
15 39 70
23 26 24
1 15 39
38 13 38
22 6 109
4 24 34
21 7 78
17 1 77
36 25 63
24 39 85
15 30 89
13 2 76
25 10 25
16 28 93
26 27 86
24 28 67
29 20 27
21 38 103
6 30 22
36 14 99
15 2 92
22 32 120
37 22 109
34 36 99
21 15 58
15 37 36
4 22 47
30 8 28
24 5 74
5 27 31
30 16 75
1 21 61
7 8 70
11 31 72
1 8 15
20 9 92
13 32 90
4 20 45
12 3 44
29 13 81
26 21 95
1 40 59
18 20 83
4 3 57
12 9 110
14 39 62
18 33 30
32 13 90
18 17 71
20 12 103
23 20 93
18 11 33
6 26 71
34 40 118
5 28 26
28 14 77
21 16 46
7 10 25
26 35 76
7 14 24
32 33 56
14 24 102
12 17 91
13 27 33
6 8 28
9 33 64
19 4 36
17 33 92
6 12 43
33 9 34
11 24 74
21 34 61
6 19 57
11 6 40
21 11 57
20 26 85
17 30 100
30 19 32
17 16 65
11 16 39
4 21 66
11 7 88
26 28 36
30 35 54
7 4 49
26 8 101
15 35 57
32 18 49
14 16 17
34 10 50
24 34 113
34 3 132
7 19 76
17 39 22
18 8 57
4 17 98
20 13 82
22 12 63
5 4 91
17 10 41
35 11 76
12 27 17
32 25 67
31 19 72
6 4 39
6 20 55
26 39 13
12 21 53
26 1 72
31 30 31
726
33 31
23 9
23 37
18 40
11 12
19 26
19 40
2 35
40 28
13 33
34 40
2 28
22 38
28 22
4 8
19 12
40 26
31 2
16 14
39 21
29 5
11 37
32 14
19 6
9 17
29 25
20 8
36 34
30 35
28 25
9 36
36 4
34 7
26 34
9 40
20 27
29 33
5 30
29 6
37 8
20 22
14 27
19 34
33 32
31 38
12 21
27 14
12 33
9 8
3 25
28 26
38 9
38 3
37 28
4 6
5 25
39 20
6 28
23 10
25 1
15 35
3 12
29 39
40 16
21 12
21 22
3 12
20 34
25 5
30 17
38 6
28 25
34 28
23 7
8 25
11 40
23 3
11 34
23 26
21 39
4 21
7 33
26 24
23 27
40 13
3 19
20 9
3 10
7 18
19 1
16 33
9 37
2 21
39 40
1 27
12 39
24 31
13 17
39 36
39 11
6 36
8 36
22 32
21 15
40 2
28 5
8 20
24 11
13 10
32 6
25 23
27 14
1 4
36 29
36 27
11 11
19 8
36 20
26 13
15 10
40 25
1 40
39 7
31 4
8 3
5 30
5 34
26 23
10 34
35 18
37 33
19 14
32 18
26 40
25 4
25 40
35 22
6 1
23 27
16 35
14 32
21 34
22 21
7 26
23 13
10 33
19 37
14 8
7 27
9 22
21 31
20 5
18 5
35 23
29 26
1 23
19 40
5 5
12 26
32 11
11 1
18 12
34 33
22 39
9 38
35 36
19 34
15 23
13 17
16 17
27 25
38 37
12 28
14 19
32 9
37 21
35 38
11 20
14 8
11 25
24 37
15 31
32 5
5 25
26 23
33 35
10 16
24 27
4 22
40 7
20 3
7 40
2 14
2 21
23 35
9 5
7 32
34 31
10 8
5 8
24 30
34 10
17 2
12 20
15 25
17 32
8 5
6 22
31 15
29 19
4 24
2 32
14 28
29 19
22 34
17 37
17 33
24 31
10 37
24 40
3 22
7 39
18 18
37 3
26 13
40 35
19 27
4 40
28 3
36 29
14 33
38 21
8 21
16 16
21 16
12 34
32 30
17 22
17 3
14 37
32 27
33 10
34 23
19 30
29 24
3 8
2 36
27 10
25 26
32 38
2 22
22 11
1 7
3 30
11 23
23 25
29 39
37 28
40 29
28 26
3 26
27 38
13 5
32 37
3 7
38 32
12 17
35 10
5 23
9 27
20 30
20 7
1 18
19 3
39 39
10 37
39 7
35 17
36 25
38 37
16 7
27 4
26 32
13 13
4 28
23 18
20 1
6 14
7 20
37 35
26 29
38 5
37 1
33 6
22 19
14 21
26 13
12 13
3 16
22 10
6 7
40 11
17 33
17 39
1 22
10 16
28 3
11 27
9 22
7 25
39 8
32 26
15 3
32 7
29 34
11 31
39 27
30 20
30 28
29 5
24 35
6 40
9 38
34 23
2 26
4 22
9 37
12 38
15 15
37 15
1 11
10 8
12 19
18 1
13 32
37 22
34 3
1 4
3 32
17 17
10 10
6 4
30 30
23 2
16 33
6 16
31 15
4 14
26 38
29 31
21 33
10 11
29 23
28 7
37 8
36 23
38 21
5 32
5 7
18 22
37 16
25 21
26 22
31 20
40 27
19 5
4 26
36 17
40 35
15 8
2 16
6 9
37 23
18 11
10 12
10 19
20 7
34 5
8 30
25 7
32 8
8 10
29 31
19 13
25 29
33 11
33 11
20 21
10 17
24 4
5 21
11 28
18 1
25 38
33 32
9 10
10 8
16 35
9 37
20 7
4 6
27 21
20 39
27 10
27 13
36 32
7 22
3 12
38 21
32 29
6 22
20 34
20 23
1 25
35 26
13 14
37 18
1 39
34 30
8 20
14 16
11 20
36 18
4 29
5 5
37 29
5 32
1 22
26 34
2 37
38 2
15 1
1 22
36 30
22 5
18 8
13 13
16 31
12 1
38 3
20 13
20 31
30 24
9 5
17 19
14 1
29 12
22 12
2 10
19 15
22 15
8 1
27 29
17 32
17 11
10 25
37 40
18 26
23 25
12 18
13 31
13 3
31 18
20 1
32 4
29 3
23 23
21 5
5 19
4 1
8 18
29 6
9 29
4 29
35 36
30 17
38 2
2 32
2 5
11 10
9 17
1 13
22 8
3 14
19 13
21 4
22 12
10 36
2 7
35 3
15 32
6 37
14 12
5 21
21 30
3 1
9 35
32 32
17 16
25 1
26 30
10 23
15 27
36 27
32 7
30 36
11 8
36 18
11 4
39 11
4 23
33 30
10 21
35 28
20 19
19 26
23 34
18 25
22 24
23 28
16 18
30 15
1 8
30 2
40 15
21 13
18 15
38 4
38 20
14 34
32 9
8 13
28 4
14 17
31 11
36 27
22 12
35 26
34 19
30 2
31 34
28 5
38 6
9 9
37 14
27 2
11 29
37 8
11 17
28 37
35 14
11 29
20 35
32 7
21 13
11 19
31 12
3 39
21 3
15 22
35 5
21 17
25 34
17 33
15 28
15 17
32 33
8 18
23 40
26 4
15 3
29 25
4 8
12 39
26 38
27 9
3 6
3 30
33 35
5 26
18 39
32 34
38 34
28 38
5 26
17 22
18 11
7 32
17 37
13 17
23 19
8 17
1 7
15 26
31 18
26 29
36 1
27 17
12 36
27 10
21 14
34 1
22 6
31 32
39 11
14 36
22 29
3 39
32 15
33 31
20 3
8 28
40 28
26 17
24 31
20 22
11 3
36 9
25 7
36 36
16 23
28 20
5 30
8 8
38 29
26 38
4 36
31 19
7 7
1 35
20 15
8 9
31 32
26 19
33 35
14 25
20 37
16 38
15 28
23 11
21 18
20 36
6 23
19 15
13 18
2 19
6 2
17 2
15 20
29 13
5 29
16 3
15 1
19 7
21 33
4 20
24 31
14 3
35 13
3 9
14 11
6 15
34 36
20 18
21 15
23 36
39 11
6 32
2 17
22 5
5 12
35 21
15 22
35 15
28 14
7 3
17 21
40 34
24 2
10 19
22 1
27 7
11 8
21 14
25 22
1 18
31 38
4 2
17 26
40 12
2 5
31 7
8 21
20 19
11 13
9 1
7 3
24 5
25 28
11 8
1 21
30 7
14 29
12 19
17 38
17 38
3 39
18 17
11 21
40 30
28 3
3 13
13 40
12 29
15 40
18 29
16 32
11 21
15 24
33 19
10 2
2 14
36 11
39 9
26 8
34 5
