47 887
7 -15
-8 -13
21 -1
-7 -20
-21 -12
-5 -18
4 -2
-5 17
12 23
-21 17
-15 15
-19 21
-7 9
-11 -20
-13 13
-2 15
12 -10
19 4
-12 3
-4 7
20 -11
6 21
17 -17
-17 -5
-22 -14
10 -15
-22 -5
-13 12
19 20
-16 6
23 20
17 23
20 -14
15 -17
18 -20
-22 -19
21 -4
1 -10
6 -8
-16 0
-23 20
19 0
-4 6
12 -7
-14 -16
2 -18
11 -9
35 32 49
11 17 99
21 36 83
45 29 70
22 33 104
28 25 108
4 6 91
20 25 49
29 36 135
18 8 87
20 36 53
33 42 94
42 28 106
21 45 61
19 6 93
24 3 117
39 4 25
4 9 125
4 1 74
14 38 66
9 43 46
5 24 98
3 15 89
19 44 38
4 37 64
20 22 69
9 40 92
17 46 55
44 45 48
44 25 97
25 41 67
35 23 38
13 3 95
28 38 83
9 30 108
38 45 70
28 39 107
3 12 134
16 15 69
20 35 100
42 23 43
14 40 24
35 34 56
9 23 41
39 34 39
5 46 87
1 30 84
9 38 64
44 41 87
6 21 28
32 39 100
24 18 49
44 39 50
28 44 55
20 38 52
39 43 101
16 24 114
45 18 77
25 15 108
25 23 54
35 37 30
38 2 62
6 10 42
6 13 75
31 46 131
23 34 78
15 24 82
17 47 86
22 38 49
40 46 92
42 14 43
19 41 62
20 33 79
22 46 75
36 22 97
5 4 27
45 20 42
31 5 95
16 21 43
29 32 53
25 45 50
35 41 84
42 13 82
7 39 45
21 47 44
23 41 85
25 4 85
5 38 74
26 21 44
22 19 95
21 27 73
15 10 97
4 36 93
30 19 88
10 14 119
24 13 94
45 44 121
2 3 74
24 38 61
9 15 92
42 39 29
5 43 30
28 16 103
23 31 90
10 24 97
20 40 29
35 45 75
22 45 70
22 12 46
30 8 24
22 17 47
36 32 146
38 26 57
4 38 29
10 16 67
26 9 58
25 37 74
36 40 94
4 20 33
5 29 68
25 20 89
42 24 72
47 42 49
29 44 117
27 9 87
4 5 57
6 39 53
18 10 57
36 13 61
43 37 67
44 5 119
45 13 99
28 18 36
14 12 45
11 4 106
20 1 74
3 11 74
3 36 49
19 13 42
28 20 93
25 3 71
24 1 65
28 8 19
31 29 7
3 24 75
32 17 66
34 42 35
44 27 123
16 30 30
31 6 106
22 11 36
33 19 122
5 47 53
13 1 89
43 19 49
43 35 50
34 35 38
32 13 59
26 33 97
18 25 91
34 46 14
14 2 26
45 43 64
26 25 77
33 21 16
39 18 65
22 47 35
15 28 66
4 18 72
32 14 112
32 35 77
21 2 54
17 11 91
6 22 89
21 6 118
3 38 43
20 8 80
6 45 43
2 37 55
5 6 29
6 44 92
23 22 113
35 29 68
17 3 57
18 4 50
30 36 60
28 23 92
43 1 51
41 45 89
28 40 29
42 7 34
43 23 51
16 20 57
38 12 105
39 28 95
44 7 50
5 14 63
35 5 80
16 35 107
33 11 64
44 20 45
41 28 69
6 19 96
29 39 42
3 35 81
14 31 137
34 45 63
6 41 70
21 31 83
38 21 47
22 6 76
33 38 81
2 24 22
31 16 79
35 14 75
16 45 88
16 39 48
25 22 113
43 4 33
16 2 31
15 29 116
6 4 47
35 39 21
19 38 85
33 40 115
18 35 66
16 9 27
28 13 29
20 28 51
5 13 88
19 31 40
41 7 35
45 25 44
45 32 140
33 27 135
17 36 82
31 7 111
38 22 53
34 6 50
34 15 67
33 14 76
31 45 86
17 18 29
18 5 68
40 9 49
19 28 37
26 31 101
29 6 121
29 43 33
17 5 90
9 39 112
6 33 62
20 3 94
24 37 97
14 4 33
44 35 57
45 10 116
31 47 100
47 18 102
22 7 39
24 2 104
35 17 15
16 37 110
30 27 91
22 39 101
22 35 135
29 45 139
35 47 79
35 25 59
21 24 42
42 9 47
45 5 21
35 38 24
43 24 95
17 38 52
41 14 78
42 6 111
1 42 73
20 17 104
13 16 64
15 26 41
13 10 83
25 18 87
14 5 96
14 41 130
42 5 78
17 40 69
19 11 94
28 4 64
6 1 52
32 6 76
43 22 109
7 26 50
33 23 49
22 2 74
24 16 82
44 10 62
44 6 77
5 25 95
42 31 32
35 42 76
20 37 86
26 16 115
26 14 53
6 5 56
45 42 53
18 19 93
28 36 118
36 27 28
38 35 55
25 44 57
26 36 73
41 9 50
32 33 39
17 16 79
16 7 37
30 20 61
33 2 102
28 15 57
5 34 61
43 41 53
9 37 75
21 46 87
14 24 78
6 29 138
1 45 66
4 39 64
41 34 114
40 6 64
26 34 6
39 14 102
5 3 108
25 2 66
42 25 88
34 28 46
44 9 78
37 1 111
18 33 28
39 16 25
17 35 22
32 28 64
4 22 55
22 42 100
20 34 51
21 5 112
35 28 61
17 23 71
30 28 38
30 35 120
20 26 75
29 13 80
23 16 130
19 35 97
31 26 61
9 44 105
19 29 89
16 41 88
29 23 126
29 15 122
38 19 52
38 28 84
11 21 89
16 22 96
45 35 108
41 4 62
31 22 79
44 17 96
28 12 67
47 29 38
2 13 25
27 29 60
38 33 82
15 8 21
33 7 105
23 36 65
38 32 100
15 34 46
44 22 120
3 7 40
15 42 127
28 30 95
45 15 47
45 6 54
27 11 105
4 8 77
33 10 88
32 19 83
26 22 71
47 11 98
39 9 88
34 11 76
42 38 106
21 15 88
33 36 132
14 42 77
44 33 65
21 13 75
9 36 137
4 13 78
5 18 122
21 37 63
25 5 63
20 30 73
8 40 97
44 37 65
21 8 120
28 22 105
32 41 100
45 31 137
18 32 95
3 34 105
21 30 129
31 15 123
24 45 17
16 5 50
14 27 104
20 2 47
31 3 44
