55 1293
-22 10
12 0
11 17
24 -25
-20 -13
7 -16
-2 -1
7 -23
-24 -1
-11 -11
18 23
-9 -7
-4 18
20 -5
8 25
16 17
2 -21
0 -16
-3 -21
5 11
-9 -6
23 -12
27 25
17 -10
-11 -3
2 -3
17 -25
3 27
11 -6
9 -22
9 4
-22 -18
-18 -3
20 -18
3 25
-5 -11
23 27
-5 15
-14 -4
20 -1
-16 11
-23 -14
-26 -25
2 21
-4 13
11 -23
-2 22
-24 25
-25 -22
20 -7
-16 -26
-20 6
-6 3
-16 -6
21 4
2 55 62
27 30 82
19 1 57
41 35 60
35 3 12
26 35 112
21 39 54
5 24 102
15 12 113
27 23 126
45 12 29
45 43 87
7 55 129
17 41 107
50 41 138
7 49 84
53 47 93
11 17 156
55 17 97
3 11 81
39 48 49
14 55 85
26 30 76
53 45 22
26 24 125
21 47 56
47 22 52
43 55 143
14 4 91
25 44 71
2 1 84
21 24 76
29 22 110
47 37 28
47 52 121
43 46 96
52 42 122
37 5 144
49 19 25
49 43 23
45 23 133
18 42 105
3 5 140
40 10 57
27 42 125
43 21 52
18 11 43
30 13 90
26 19 38
17 49 135
52 25 116
40 32 99
47 18 53
24 32 101
25 55 122
12 39 35
17 36 77
35 47 17
36 18 34
17 29 34
6 22 85
17 6 35
45 55 53
40 30 38
10 53 98
18 50 42
22 1 110
22 27 79
36 46 89
8 44 98
51 39 86
43 37 122
47 12 57
17 54 50
1 45 38
2 20 15
6 17 44
43 19 60
34 28 123
29 6 90
21 48 120
19 13 143
43 26 95
38 43 55
49 22 131
15 51 71
20 47 65
5 30 56
8 15 144
19 50 84
38 26 100
43 11 160
5 53 92
52 44 115
36 24 51
43 1 78
29 31 43
12 2 64
11 9 140
35 9 55
44 54 106
26 50 42
20 15 41
5 22 73
8 42 34
19 8 14
49 45 74
35 6 66
8 27 29
17 11 119
17 24 117
49 18 59
14 19 122
30 40 33
54 2 91
47 20 42
9 21 91
18 34 66
53 12 13
1 54 68
2 52 116
3 51 122
34 27 68
15 47 60
41 4 113
55 6 76
51 32 69
45 33 126
54 47 92
20 42 85
7 10 110
53 35 133
19 27 25
6 18 114
6 12 83
49 54 106
15 42 55
2 23 114
2 21 124
29 39 40
30 17 23
6 39 111
52 17 70
38 2 123
48 2 67
20 33 110
17 40 101
16 51 69
54 26 26
37 13 60
38 13 53
7 23 114
55 13 89
32 52 119
24 53 67
26 17 55
53 10 84
48 19 109
5 19 111
53 46 80
13 32 102
32 51 67
20 49 128
5 35 151
3 28 14
54 38 48
39 15 143
5 18 63
14 22 76
27 40 73
8 23 105
43 17 46
13 41 30
7 44 127
54 21 22
11 6 57
31 24 71
53 8 73
55 8 109
54 40 53
27 4 84
49 41 84
50 49 106
10 12 70
34 29 37
34 22 76
47 42 99
43 53 88
17 4 102
13 26 38
12 20 126
7 35 116
5 12 106
22 51 118
2 17 86
26 20 113
50 30 108
34 16 45
20 4 101
46 35 142
22 8 101
15 49 129
46 10 59
34 3 79
24 48 98
20 13 69
41 9 56
39 4 119
29 28 88
30 41 106
19 23 145
22 33 54
13 38 97
42 53 64
26 25 77
47 35 84
7 53 90
10 26 100
13 46 116
17 1 138
2 6 76
7 54 31
2 19 97
47 43 149
11 25 113
22 30 66
36 38 98
34 26 59
32 30 77
16 19 97
39 38 125
53 37 107
25 18 90
14 25 89
38 19 55
53 40 130
45 29 103
24 27 52
7 4 72
14 24 13
10 3 52
22 55 113
48 50 112
13 24 62
54 46 119
26 39 100
41 22 110
24 6 119
5 7 66
16 43 115
5 28 156
34 23 140
15 34 109
41 5 134
45 18 32
26 51 124
20 6 72
2 18 75
21 3 72
43 3 116
11 13 87
53 21 100
52 23 110
33 26 97
26 46 26
15 54 112
3 35 104
34 44 94
7 46 112
33 46 66
16 29 127
39 35 98
53 48 80
6 42 102
17 13 94
6 34 80
14 51 53
12 4 107
29 9 48
30 48 146
26 3 116
54 33 59
36 43 54
9 44 125
26 53 45
21 19 108
3 37 101
24 18 118
30 5 45
44 23 53
41 46 66
30 47 136
19 25 106
16 18 114
2 41 140
12 11 111
41 45 91
38 24 130
3 4 128
10 44 133
21 50 90
29 47 100
22 44 117
25 2 99
21 52 47
2 4 71
21 44 71
43 20 59
3 26 46
19 22 63
22 35 79
32 17 74
21 49 121
2 37 79
16 36 50
8 35 115
14 33 117
12 1 109
37 16 57
7 8 48
17 30 86
36 23 78
10 51 39
6 40 65
40 33 99
54 13 89
25 53 40
14 26 109
35 13 105
24 30 35
16 30 81
54 44 35
18 27 44
3 34 103
30 26 33
47 3 44
2 36 35
47 5 78
54 48 89
13 31 49
34 40 109
44 19 74
19 36 49
12 44 119
8 41 118
54 55 40
14 32 47
11 30 118
52 51 67
55 44 121
43 47 135
32 25 21
8 45 73
7 14 67
39 40 88
36 37 101
22 12 109
47 9 91
47 44 93
12 41 57
30 6 46
27 31 107
43 12 66
11 45 59
22 19 50
45 8 99
39 2 61
8 24 45
54 22 113
30 24 94
8 14 100
36 7 57
30 9 73
32 12 67
7 38 64
15 13 105
43 22 90
25 1 112
22 13 53
2 13 118
31 33 50
5 20 124
24 9 115
32 38 92
19 3 65
9 29 77
14 9 56
38 1 120
26 42 57
39 36 16
8 37 107
5 23 110
41 44 32
53 19 26
27 44 108
24 54 70
32 37 168
17 16 69
27 3 132
12 54 65
20 8 62
53 20 26
17 43 42
41 39 57
30 35 123
43 5 50
1 13 50
24 52 103
19 47 93
41 14 147
6 33 72
8 51 104
45 15 105
6 45 33
35 32 100
40 9 45
3 30 137
54 50 142
45 19 64
35 5 46
35 34 84
3 17 97
41 52 106
25 29 115
51 21 37
7 50 54
10 47 61
36 3 86
16 25 37
52 41 86
3 33 117
19 32 119
14 37 37
24 50 68
21 55 92
26 40 119
43 2 153
1 19 141
29 18 93
14 2 59
16 9 111
30 53 86
52 1 22
30 42 90
2 7 35
6 13 99
12 36 37
54 42 67
17 12 63
17 15 110
20 3 82
14 8 102
46 16 120
17 38 138
11 27 78
26 18 123
12 34 56
6 30 108
47 14 112
41 24 123
15 8 84
34 53 97
44 32 74
3 14 57
6 49 131
52 10 35
8 53 69
15 36 138
35 7 69
17 2 72
2 27 34
48 4 87
5 4 103
48 30 110
12 51 21
13 8 146
34 46 74
9 45 90
14 13 60
43 24 98
18 17 100
53 31 32
14 34 100
17 7 64
19 29 37
21 31 100
45 2 97
24 51 122
53 44 114
7 18 49
45 37 88
12 49 125
12 50 49
41 1 100
14 20 38
48 51 89
24 19 24
24 8 112
10 39 108
39 9 98
19 17 94
33 40 48
18 40 56
20 23 123
3 43 90
7 6 106
8 34 35
15 46 64
17 5 92
39 45 24
15 11 119
44 17 82
6 23 93
49 48 74
16 50 64
47 21 40
15 39 96
41 11 133
12 13 102
11 18 54
19 34 62
27 13 73
6 16 56
36 25 114
26 6 42
17 46 103
30 28 148
45 5 124
51 25 43
29 42 43
8 33 56
41 47 78
53 36 100
55 4 67
16 15 18
27 48 163
32 18 109
15 7 70
24 35 64
47 4 154
49 32 21
10 32 28
47 33 44
24 11 91
36 48 79
21 6 24
7 37 81
52 11 58
22 20 137
49 50 54
21 53 72
19 55 102
53 6 49
30 34 112
32 55 100
30 11 113
49 21 95
36 11 94
47 27 147
18 16 52
47 54 79
8 4 123
9 54 112
41 37 104
35 44 114
3 42 104
36 31 99
11 42 123
43 41 146
29 53 92
54 19 82
18 37 114
25 46 135
14 47 105
9 24 126
25 11 141
19 14 82
53 16 86
3 13 87
11 50 56
37 48 94
3 31 76
30 21 127
35 19 50
13 48 87
9 12 65
54 18 65
36 51 124
6 1 94
43 7 45
19 12 19
29 12 85
29 43 80
5 8 58
39 34 114
41 10 36
14 11 58
25 27 47
22 48 63
21 51 39
49 4 97
3 53 109
25 30 56
21 43 80
11 31 37
11 4 147
10 35 45
15 23 119
35 20 20
30 18 21
26 31 51
26 32 124
12 40 94
25 15 92
9 32 37
19 10 42
48 26 105
3 23 58
17 28 78
32 8 97
36 45 127
37 46 120
12 28 37
53 18 83
51 55 49
30 43 59
41 25 106
12 25 113
16 5 121
10 4 43
39 54 77
21 27 39
15 22 129
24 2 62
26 21 80
27 37 127
45 54 78
22 49 157
10 9 49
39 26 32
25 40 63
46 54 110
52 50 131
10 46 35
18 8 58
16 54 57
55 19 95
11 51 154
9 6 91
27 49 65
21 9 71
23 19 140
44 51 155
30 29 89
5 48 112
29 15 112
20 32 57
27 12 71
25 49 128
35 41 74
10 19 15
49 29 45
9 25 84
35 22 70
43 23 133
7 25 106
15 26 105
24 39 99
3 40 54
55 21 136
9 39 95
18 53 72
9 53 111
51 46 94
22 26 35
2 29 78
36 9 100
24 45 63
35 8 73
34 17 22
8 47 144
27 16 82
18 23 117
47 24 56
29 19 53
45 25 79
21 10 45
6 7 116
32 3 116
7 31 28
7 16 84
8 31 60
8 49 100
2 30 55
54 12 78
7 36 82
45 46 129
32 24 86
3 41 128
9 26 41
53 30 70
21 42 93
43 34 103
18 12 96
34 2 97
18 43 58
17 32 86
20 34 120
19 54 22
30 1 111
8 21 103
27 18 51
55 15 100
26 16 84
18 45 106
16 6 113
14 10 103
16 31 120
40 29 73
53 32 79
18 10 58
47 48 24
45 1 75
19 43 32
20 28 104
3 36 70
35 45 50
14 48 76
2 31 61
12 15 123
20 11 62
35 51 70
16 10 67
19 48 120
54 14 113
7 17 28
12 14 121
12 24 127
47 1 53
11 52 54
2 16 122
7 33 112
6 3 40
13 28 58
54 4 84
9 27 66
16 24 102
49 13 124
8 43 120
12 9 32
54 7 37
30 55 61
32 11 61
52 28 76
29 36 80
34 42 111
15 44 83
41 50 100
14 21 47
21 36 110
20 18 111
5 32 92
7 40 66
24 34 95
47 26 63
45 48 117
43 54 32
5 29 69
21 7 111
19 52 112
11 21 55
10 37 148
7 11 134
41 49 88
1 28 66
18 29 103
21 46 80
9 8 50
16 41 99
54 41 124
29 33 128
43 9 129
49 6 97
24 22 60
14 5 138
15 41 129
10 29 114
34 9 78
15 53 85
26 7 30
8 38 82
25 21 86
5 50 129
30 12 36
25 51 105
46 12 37
21 37 116
39 52 113
44 11 108
54 11 56
18 35 64
18 25 50
35 48 43
18 22 35
54 49 96
18 52 111
29 40 54
43 27 145
17 3 133
12 23 84
39 43 103
15 3 112
8 40 76
8 55 32
12 42 100
29 55 88
30 36 42
12 16 35
8 19 72
29 2 76
32 34 79
39 3 126
34 36 27
10 18 48
37 31 77
45 39 52
16 46 142
14 17 109
18 38 45
54 20 134
13 50 104
53 49 50
32 23 128
53 14 30
7 43 73
16 7 39
36 50 94
17 33 98
9 14 50
9 48 61
31 49 124
2 47 62
53 13 117
21 26 102
19 4 98
26 37 99
17 44 88
35 18 81
14 1 149
9 18 63
21 45 60
14 29 105
7 9 101
55 1 122
7 39 18
20 38 81
25 33 91
43 18 95
10 48 120
25 5 70
18 20 87
49 36 88
34 52 51
21 28 138
47 46 89
49 51 14
16 27 55
41 12 102
18 39 92
25 26 95
21 20 42
7 13 87
21 32 44
45 44 119
12 10 36
34 31 30
24 41 145
6 2 103
18 54 40
30 27 94
20 1 61
39 53 49
45 53 78
18 36 53
35 10 101
19 6 33
17 10 96
50 17 44
54 16 51
35 14 51
30 10 39
12 8 72
29 48 94
14 41 104
47 34 143
43 14 83
45 32 53
29 20 28
17 42 118
29 50 68
9 33 51
52 54 90
20 25 90
10 15 113
24 33 69
40 47 43
20 55 79
34 10 66
55 26 95
53 29 100
9 5 106
34 37 46
7 5 65
15 28 55
5 51 81
38 11 120
45 13 15
29 44 133
29 11 61
30 3 54
2 9 93
47 23 34
22 37 103
20 46 132
53 4 55
18 31 43
9 34 49
22 53 118
44 33 33
47 15 106
47 29 138
37 50 60
35 30 59
29 45 116
16 49 128
53 26 87
36 53 72
38 36 82
52 16 97
52 20 77
26 43 45
55 30 99
55 23 63
26 44 31
47 2 111
25 9 38
15 27 131
35 38 22
7 45 72
12 17 93
25 19 105
44 55 48
12 35 138
11 38 99
12 7 77
18 14 58
7 48 59
24 26 101
24 25 47
16 20 101
35 40 141
19 44 138
27 5 79
21 13 131
40 51 98
10 38 85
23 53 60
34 7 39
25 4 95
15 52 61
27 47 112
9 51 123
17 34 60
24 42 41
39 49 117
33 54 18
2 5 96
49 23 180
55 16 43
2 12 118
15 55 30
29 54 119
15 9 107
25 20 117
12 53 47
14 43 88
19 39 109
9 4 160
5 41 125
17 9 62
20 14 51
25 47 136
7 3 80
10 25 84
27 41 114
15 50 137
52 34 123
17 37 54
35 21 118
35 29 63
41 54 123
2 24 93
12 32 69
43 31 148
11 40 55
53 34 57
50 8 38
34 19 75
10 13 101
8 17 24
53 5 122
7 24 23
24 7 66
9 10 40
24 15 75
9 2 106
30 39 65
18 51 111
17 45 89
19 18 7
2 10 128
34 25 131
35 15 9
31 43 98
8 11 134
22 47 68
30 46 82
49 9 29
41 19 115
30 7 74
6 51 124
27 1 82
42 32 59
11 44 42
26 12 68
34 47 124
37 33 91
15 35 66
33 4 89
11 19 105
10 1 114
3 8 131
41 29 110
16 39 137
37 27 159
22 50 104
16 33 59
15 21 58
19 20 59
19 53 105
36 26 91
31 47 72
29 17 52
30 31 103
17 18 39
16 1 44
9 31 65
20 52 93
8 1 121
22 17 64
39 12 9
16 17 133
52 3 69
30 51 95
52 4 80
47 8 65
36 21 27
19 35 81
41 16 79
24 38 56
19 26 77
47 38 97
44 37 74
21 11 63
20 21 49
7 41 67
18 21 54
8 52 61
20 36 26
21 25 25
18 19 21
26 52 47
27 22 33
47 32 59
45 30 119
16 38 99
45 51 58
18 48 101
11 23 28
2 33 129
25 17 40
16 11 103
9 49 114
38 6 113
10 55 47
9 11 53
22 14 98
35 1 124
27 33 129
11 14 60
24 37 109
2 14 73
55 46 38
38 48 87
17 55 141
18 26 58
17 26 31
43 13 142
25 6 28
13 33 135
41 3 88
26 10 99
43 25 136
2 34 94
2 42 58
13 1 31
43 29 47
5 55 115
27 10 69
18 33 42
49 7 52
15 31 89
14 53 54
15 24 62
42 5 14
4 52 102
22 15 90
10 16 103
54 51 32
41 40 132
46 52 147
3 27 53
19 31 39
36 35 42
43 36 116
6 14 44
2 44 80
22 5 101
25 22 92
3 47 73
47 30 72
20 19 104
54 36 52
12 31 105
33 12 57
9 40 89
34 1 102
43 39 126
15 18 82
54 1 99
31 55 37
7 2 55
53 17 33
20 35 58
39 16 76
38 37 59
18 46 113
13 35 21
43 44 135
11 41 103
51 20 63
3 48 135
31 8 100
26 36 13
15 48 64
14 39 69
24 47 113
14 46 57
19 2 62
45 22 59
16 53 97
11 15 21
52 24 68
18 55 78
23 11 31
10 49 125
27 14 44
5 38 80
6 8 9
26 29 31
29 46 125
9 43 72
15 43 160
20 45 47
42 25 111
39 1 22
39 28 79
43 8 62
29 13 111
53 3 96
21 33 30
38 51 85
15 6 134
32 40 92
45 38 91
20 39 131
3 55 40
32 41 68
25 36 35
2 45 56
26 15 105
27 21 135
17 39 67
53 42 69
27 6 14
11 46 118
12 3 133
24 43 93
11 12 148
31 38 109
11 22 79
44 46 119
19 5 117
52 47 82
8 6 39
23 9 165
11 8 51
44 31 34
3 7 121
35 54 81
34 32 47
35 33 72
3 19 114
35 50 119
11 26 107
11 7 72
35 52 79
6 47 130
8 46 114
9 3 43
41 36 106
16 55 46
17 31 44
54 45 100
26 13 88
6 37 109
10 41 79
26 11 134
41 8 71
27 2 90
47 53 45
16 32 77
7 21 34
34 5 53
54 35 141
51 19 73
29 35 117
45 31 49
11 16 26
52 31 135
41 48 19
14 3 26
15 40 82
19 24 106
35 49 65
12 29 65
53 28 61
5 16 68
7 26 100
24 49 150
17 48 75
25 37 65
14 27 73
55 11 82
16 8 76
46 23 64
52 40 62
15 5 151
44 16 123
40 45 71
43 4 100
7 20 27
45 47 46
6 26 50
12 19 122
15 29 48
19 42 59
32 14 103
5 33 58
29 38 116
24 3 95
16 44 53
25 39 89
43 32 24
54 8 127
49 34 72
53 43 64
19 46 48
54 5 13
43 45 92
20 2 60
24 40 18
18 28 45
726
45 43
31 12
31 50
25 54
16 17
26 35
26 55
2 48
55 38
18 45
47 55
2 39
29 52
38 31
5 11
25 17
55 36
42 2
21 19
53 28
40 7
16 50
44 19
26 9
13 23
40 35
27 11
49 46
41 48
38 35
13 50
50 5
47 10
36 46
13 55
27 36
40 45
6 41
40 7
50 11
27 30
18 37
26 46
45 44
43 52
17 29
37 19
16 46
13 11
4 35
39 35
52 13
52 4
50 38
6 9
6 34
53 27
9 38
32 13
35 1
20 47
4 16
39 53
55 22
29 16
28 30
4 16
28 47
34 6
41 23
52 8
39 34
46 38
32 10
11 34
14 55
32 4
15 47
32 36
29 54
5 29
9 45
36 32
31 37
55 17
4 26
27 12
4 13
9 25
25 2
22 45
12 51
2 29
53 55
1 36
16 54
33 43
18 24
54 49
54 15
8 50
10 49
30 44
29 20
55 2
39 7
11 28
32 15
18 14
44 8
34 31
37 19
2 6
49 40
50 36
15 15
27 11
49 28
36 18
21 14
55 34
1 55
53 9
43 6
11 4
7 41
6 47
36 32
14 47
48 25
50 45
26 19
43 24
36 55
34 5
35 55
49 30
8 1
31 37
21 48
18 44
29 46
30 29
9 35
31 18
14 45
26 51
19 11
9 37
12 30
29 43
27 6
25 7
48 31
39 36
1 32
26 55
7 7
16 35
44 15
15 1
25 17
47 46
30 53
12 52
47 50
26 47
20 31
17 24
22 24
37 34
52 51
17 38
19 26
44 12
50 29
48 53
15 28
19 11
15 34
33 50
20 42
44 7
6 34
36 32
45 48
14 21
33 37
5 30
55 9
27 4
9 55
2 19
2 29
32 48
13 7
9 43
46 42
14 10
7 10
32 41
46 13
23 3
16 27
20 34
23 44
11 6
8 29
42 21
40 26
5 33
3 43
20 39
39 26
30 47
24 50
23 45
32 42
13 51
33 55
3 31
9 54
25 24
51 4
36 17
55 48
26 37
6 55
38 3
49 39
19 45
52 29
11 29
22 21
29 22
16 46
44 41
23 30
24 5
19 51
43 36
46 14
47 31
25 41
40 33
4 11
3 49
36 13
34 36
43 52
3 31
30 15
1 10
5 40
15 31
32 34
40 54
51 38
55 39
38 35
4 36
37 52
18 6
44 50
5 10
51 44
17 23
48 13
7 32
13 37
27 40
27 9
2 25
26 5
53 54
14 50
53 9
49 23
49 34
52 50
21 10
36 6
35 44
18 18
6 39
32 24
27 1
8 19
9 28
51 49
36 40
53 6
51 2
46 8
30 26
19 29
35 18
17 18
5 22
30 14
7 9
54 15
23 45
24 53
1 30
14 22
38 4
15 37
13 31
10 34
53 11
44 35
20 3
44 10
40 46
15 43
53 38
42 27
41 38
39 6
33 48
7 55
13 52
46 32
3 35
6 29
13 51
16 52
21 20
51 20
2 14
14 11
16 26
24 1
18 43
51 30
47 4
1 6
4 44
23 23
13 13
8 5
41 41
31 3
22 45
7 22
43 20
5 20
35 52
39 42
29 45
14 15
40 31
38 9
50 11
49 32
53 28
7 44
7 10
25 30
51 22
34 29
36 30
43 27
54 37
26 7
5 36
50 23
54 48
20 10
3 22
8 12
51 31
24 15
13 17
13 26
28 10
47 7
11 41
34 10
44 11
11 13
40 43
27 17
34 39
45 15
45 15
28 29
14 23
33 5
6 28
15 38
25 1
35 51
45 43
13 14
14 11
22 47
12 50
28 9
5 8
37 29
27 54
37 13
37 18
49 44
9 30
4 16
52 28
44 40
8 31
28 46
27 32
1 34
48 36
17 19
50 24
1 54
47 41
11 27
19 22
15 27
50 24
5 40
7 7
51 40
7 43
1 30
36 47
3 51
53 3
20 2
2 30
49 40
30 6
25 11
17 18
21 42
16 1
52 3
27 17
28 42
41 33
13 7
23 26
19 1
39 16
29 17
2 13
26 20
30 20
11 2
37 40
23 44
23 15
14 35
51 55
24 36
31 34
17 24
18 43
18 4
43 25
28 1
44 5
40 3
31 32
29 7
7 26
5 1
10 24
40 9
12 39
6 40
48 49
41 24
52 2
3 43
3 7
14 13
12 23
1 18
30 11
5 19
27 17
29 5
30 16
14 49
3 10
48 4
20 44
9 51
20 17
7 29
29 41
5 1
13 47
44 43
24 22
34 2
35 42
14 31
20 36
50 37
44 9
41 49
15 11
49 24
15 6
54 14
5 31
46 41
13 29
48 38
27 26
26 36
31 47
24 34
30 33
31 39
22 25
41 21
1 11
42 2
54 21
29 18
24 20
52 5
52 28
19 47
44 13
10 18
38 5
18 24
42 16
49 37
30 16
47 35
46 26
41 3
43 46
39 7
53 9
13 12
50 20
38 3
14 40
50 10
15 24
38 51
48 19
15 39
27 47
43 9
28 17
14 27
42 17
4 53
29 4
20 30
48 7
29 23
34 47
24 46
21 38
21 23
43 46
10 25
31 55
36 6
21 4
39 34
6 11
16 53
36 52
36 12
4 8
4 41
45 47
6 35
24 53
43 46
52 47
39 52
7 35
23 29
24 15
10 44
23 51
18 23
31 26
10 24
2 9
20 36
42 24
35 39
50 1
37 23
16 49
37 14
28 20
47 1
30 7
43 44
54 15
19 49
30 39
4 54
43 20
45 43
28 3
10 38
55 39
35 24
33 42
28 30
14 5
50 12
35 9
49 50
22 31
38 27
6 41
10 11
52 39
35 52
5 50
42 25
10 10
2 47
28 20
11 12
43 44
35 26
45 48
20 35
27 50
22 52
21 38
32 14
29 25
27 49
8 32
26 20
18 25
2 25
8 2
23 2
21 27
40 18
7 40
22 4
20 1
26 10
28 46
5 27
33 43
19 4
48 17
4 12
19 16
8 20
46 50
27 25
28 20
32 50
54 15
8 44
3 23
30 7
7 16
48 28
21 31
48 21
39 19
10 4
23 29
55 47
33 3
14 26
29 1
37 9
14 11
29 19
35 30
1 25
43 53
6 3
24 35
55 16
2 7
42 9
10 29
28 26
16 17
12 1
10 4
33 6
35 39
14 11
2 29
42 9
19 40
16 26
23 52
24 53
3 54
24 23
15 28
54 41
39 4
4 18
18 55
16 39
20 55
24 40
22 44
15 29
21 33
46 26
13 2
3 19
49 15
53 12
36 11
47 7
