64 1754
-13 -18
-25 -25
30 -13
-20 28
10 -5
13 4
-7 5
-30 17
-9 26
27 23
-16 31
-19 8
1 6
-16 27
25 25
19 20
-3 -32
-5 6
-6 19
-14 32
-5 22
-23 -22
22 -32
15 -1
-26 -14
-3 -6
-10 -5
-4 5
4 -13
19 1
29 -15
6 -8
-29 -23
-5 -10
-2 -17
-28 -5
-3 2
8 7
-27 29
18 32
-32 30
0 -31
-20 -5
-19 4
28 -9
17 -14
17 -29
-9 23
-4 -15
11 -11
10 9
6 26
29 21
-21 19
13 -32
-23 -24
-32 -22
-6 25
-30 7
0 32
2 -3
11 -31
-13 -6
-4 -27
53 40 25
16 64 100
52 37 77
9 7 120
2 12 127
49 20 72
27 20 138
52 3 53
47 52 138
30 43 158
49 37 59
30 1 49
52 62 119
10 12 150
39 13 164
50 38 46
55 51 131
41 26 104
33 46 93
26 29 23
28 61 105
35 13 33
31 18 163
44 26 55
49 13 54
41 43 145
11 6 116
13 42 64
22 27 126
56 40 173
50 11 156
59 61 52
32 22 103
11 36 151
60 5 129
63 9 144
4 28 120
46 53 47
46 57 79
10 34 49
30 25 162
36 44 73
28 1 137
22 40 148
30 18 105
36 43 102
61 20 49
30 41 105
28 5 39
33 34 79
55 14 158
34 7 46
46 62 38
40 26 113
30 36 117
2 36 49
58 39 128
36 1 115
37 12 52
41 40 153
50 56 163
56 24 136
14 55 158
17 12 46
10 5 107
36 52 73
27 28 112
47 25 158
41 6 171
63 34 102
58 57 116
7 24 70
11 2 161
52 17 166
41 17 125
8 38 86
50 61 25
45 47 144
52 49 52
51 20 76
20 64 138
11 20 72
40 7 127
9 36 84
22 13 111
56 54 159
50 33 55
26 21 37
4 10 63
11 32 152
56 25 113
23 8 134
36 22 86
2 42 98
22 41 78
51 57 113
8 53 159
40 24 102
63 4 57
48 21 108
15 51 39
51 36 134
32 40 137
53 62 73
16 5 142
64 24 55
19 57 118
15 20 148
24 51 32
30 15 27
27 23 46
33 11 143
7 13 24
59 5 100
2 32 89
55 50 137
21 61 40
34 56 51
47 54 147
10 32 139
45 13 118
34 57 148
27 50 125
40 63 76
52 41 141
54 20 100
4 49 170
49 15 114
2 58 157
53 18 95
45 16 123
63 20 83
16 40 30
2 6 161
64 8 110
11 4 72
45 40 149
25 24 63
52 9 118
18 15 138
39 40 166
45 63 76
59 13 124
36 32 85
55 49 139
51 46 41
25 48 119
30 49 137
64 48 73
23 47 94
36 50 111
30 16 33
39 45 183
35 64 110
24 46 100
36 34 51
42 45 159
21 62 179
2 41 87
8 30 159
7 39 46
17 45 41
25 16 102
8 16 63
12 38 72
37 28 69
49 30 147
45 10 43
34 16 53
60 46 155
64 7 53
46 12 130
17 47 105
24 9 123
56 50 68
55 2 140
39 6 173
39 56 101
9 62 102
40 27 132
52 55 116
52 11 144
33 51 157
45 26 132
51 49 89
51 16 42
54 30 162
58 52 89
7 36 151
42 2 58
11 47 86
4 5 99
23 24 156
33 29 49
11 1 52
12 57 71
27 54 147
36 6 75
33 14 103
45 42 97
8 45 111
61 40 40
39 49 107
15 30 66
46 64 85
49 62 47
19 41 43
16 1 111
17 14 171
54 37 115
16 31 147
52 59 118
20 49 80
25 6 103
57 33 121
24 35 53
22 43 94
30 27 81
47 56 83
63 14 44
30 26 109
50 51 81
56 17 76
51 3 151
33 41 147
25 38 93
12 49 92
10 56 169
53 4 73
33 42 43
21 17 96
60 59 66
30 52 140
9 54 85
24 34 102
11 40 125
10 38 132
30 9 149
11 19 34
34 25 82
47 13 160
24 64 120
49 64 47
26 60 83
17 48 75
55 54 161
17 50 116
49 12 119
21 29 133
52 43 59
53 47 94
39 18 156
10 57 123
2 48 165
47 24 30
19 27 146
23 38 148
33 21 108
63 16 105
55 60 185
17 41 149
15 2 90
63 12 94
47 10 162
59 46 144
28 43 81
6 2 110
43 32 67
20 48 100
48 53 55
16 30 104
23 32 111
7 33 125
4 63 118
7 49 90
41 30 99
11 14 46
56 32 88
8 35 128
32 20 70
48 59 84
59 37 50
9 17 177
48 19 55
14 18 123
14 2 107
40 10 56
22 35 66
17 31 164
56 21 82
21 13 62
51 33 82
25 3 182
62 36 76
40 23 105
9 41 144
20 1 131
26 36 99
23 5 146
8 52 76
41 58 83
2 7 85
26 19 135
42 55 19
18 51 142
27 16 126
39 47 111
4 38 84
63 46 66
10 40 135
22 23 62
30 40 156
24 36 144
54 19 134
59 15 116
60 1 145
54 38 133
23 17 76
48 1 60
33 50 141
8 28 36
24 63 29
41 7 46
50 63 128
18 3 57
11 64 147
44 8 103
32 45 23
8 14 31
62 11 170
26 55 76
56 8 96
39 50 87
46 28 152
30 28 113
41 13 105
27 48 58
10 6 146
54 63 107
64 40 181
56 49 86
11 44 33
39 20 65
24 21 101
23 3 145
13 60 28
16 12 80
55 59 100
39 31 79
8 63 50
49 50 52
4 32 160
10 11 44
33 3 164
59 58 67
52 54 48
62 5 97
8 39 112
2 51 78
33 4 73
19 39 109
45 32 80
28 34 76
6 25 87
13 19 56
4 13 146
39 29 86
60 17 68
36 13 104
15 41 58
12 29 138
41 2 100
24 40 84
32 43 97
2 57 41
40 32 61
25 52 61
44 32 51
36 28 36
6 61 133
33 36 74
46 29 36
45 61 106
22 3 166
10 62 107
47 20 106
53 64 70
63 40 98
27 39 91
52 25 100
15 4 107
40 16 29
50 25 85
21 42 171
36 40 130
49 26 65
40 45 108
11 49 89
50 54 61
32 54 39
27 3 104
21 16 84
25 58 90
28 55 85
2 52 84
30 44 107
11 29 104
42 39 74
45 46 69
49 60 113
21 28 52
25 43 25
18 38 140
34 11 66
60 35 122
63 47 149
18 32 130
63 27 100
9 50 150
23 29 38
35 30 38
10 20 85
39 60 128
40 5 145
22 2 19
48 4 63
59 22 41
11 56 130
26 35 81
10 43 128
41 37 127
27 1 94
57 37 56
47 17 70
17 53 101
59 56 76
13 54 107
55 33 56
49 61 36
23 25 61
17 54 139
20 60 114
50 9 157
15 8 118
10 9 58
6 26 74
53 2 196
64 32 114
54 29 157
54 18 43
11 37 99
15 49 50
52 2 136
59 48 93
57 47 100
63 35 87
36 15 96
17 63 94
56 42 145
45 62 71
1 32 50
63 58 38
60 13 110
7 45 123
53 31 57
47 60 117
54 48 68
21 11 104
55 44 91
8 10 94
63 18 95
25 49 45
34 1 73
44 54 133
11 3 147
54 41 46
22 50 96
4 37 143
20 13 108
2 61 53
12 5 124
32 10 100
20 16 60
37 22 136
46 11 119
41 21 50
59 64 135
35 4 91
39 26 161
23 48 137
23 60 106
10 30 24
30 47 129
51 59 146
43 36 126
56 61 121
8 12 116
35 33 75
45 8 106
56 2 117
21 43 116
44 28 52
30 12 164
31 26 155
52 8 49
17 21 148
27 32 48
50 6 103
17 11 166
44 51 102
20 35 175
