41 168
-8 -13
-16 6
18 20
-2 14
-5 -13
-8 8
17 -6
-11 -6
-20 6
11 2
-19 -16
10 2
-8 2
2 -20
13 -10
-10 -10
17 18
-4 -13
-7 -7
-11 -10
-18 13
17 -16
5 16
19 7
14 -9
11 5
-6 1
9 -2
15 -14
-11 7
-14 -9
-11 20
12 -4
-20 -20
-12 1
-2 9
2 20
13 -7
11 7
19 -12
-20 17
9 11 23
7 25 6
11 8 15
18 13 18
34 11 5
23 39 13
16 9 20
14 25 17
39 6 23
41 1 36
11 31 10
31 6 22
21 35 15
17 24 13
33 27 20
34 8 19
33 36 21
25 40 6
23 40 32
32 23 17
27 14 24
41 27 24
16 11 11
6 23 16
29 7 9
24 22 25
41 36 23
6 17 27
35 27 8
22 1 28
6 15 30
40 15 7
1 31 9
13 5 16
15 10 14
7 38 5
15 16 27
12 5 24
27 28 17
17 12 18
29 24 22
32 9 19
23 38 28
24 28 16
14 35 27
4 27 16
2 9 5
9 21 8
11 2 25
4 22 36
4 18 29
18 1 5
38 15 4
40 22 6
21 32 12
33 12 7
17 10 21
2 26 28
38 40 8
5 35 18
19 9 19
41 32 12
14 34 25
1 21 30
21 13 16
30 6 5
33 16 26
13 16 13
29 18 21
2 30 6
38 25 3
39 14 31
16 30 21
14 20 20
34 25 37
28 26 9
23 31 34
13 38 23
19 29 25
7 10 13
30 4 14
19 31 8
22 39 25
1 19 8
22 10 21
34 33 38
24 26 9
27 7 28
6 4 9
27 4 14
40 29 6
23 6 17
35 23 26
22 34 40
37 22 44
25 12 12
25 23 28
30 39 26
15 12 14
31 34 14
41 39 34
14 1 15
17 39 14
25 31 29
3 24 14
26 14 29
26 35 25
9 19 22
39 23 11
13 10 23
36 33 21
31 2 19
30 33 28
27 33 21
4 19 25
31 13 13
40 17 31
4 25 33
12 23 16
21 6 12
22 29 3
37 29 39
41 30 16
38 26 15
13 2 10
24 15 19
35 6 11
5 34 20
6 5 25
10 32 31
38 19 21
40 7 8
11 1 13
38 33 5
15 1 25
32 3 34
20 24 35
19 5 7
5 8 11
5 31 11
30 29 37
32 24 37
39 15 20
28 20 24
30 12 23
25 8 28
34 2 27
9 37 28
26 5 25
6 14 33
8 19 5
13 27 3
32 18 35
12 1 24
19 27 10
3 30 33
27 18 17
9 39 33
39 28 10
2 17 41
32 5 35
34 21 38
40 5 26
23 37 6
22 8 33
3 12 23
31 12 27
25 26 16
726
34 32
23 9
23 38
19 41
12 12
20 26
20 41
2 36
41 28
13 34
35 41
2 29
22 39
29 23
4 8
19 13
41 27
32 2
16 15
40 21
30 5
12 38
33 14
19 7
10 17
30 26
21 8
37 34
31 36
28 26
9 37
37 4
35 7
27 34
9 41
20 27
30 34
5 30
30 6
38 8
20 23
14 28
20 35
34 33
32 39
13 22
28 14
12 34
10 8
3 26
29 26
39 10
39 3
37 28
4 7
